Thể loại,Lượt bán,Giá trung bình,Đánh giá trung bình,Độ dài
Báo - Tạp Chí,2.6451055060872886,1.0,2.3642064738968482,1.8826099757119852
Chính Trị - Pháp Lý - Triết Học,2.545687667259875,2.8593281012653433,2.8703938575613224,3.1233335341607957
Giáo Khoa - Tham Khảo,2.6907289893197284,2.3506027542865677,2.7028194200265476,2.6778937017422226
Giáo Trình,2.4465032819285337,3.3939452294142427,2.1065661887981637,3.703678150492011
Khoa Học Kỹ Thuật,3.2921051952022933,4.182294003062817,3.0010932586607963,3.4113714604237364
Kinh Tế,3.1948884893378477,4.00612326080399,4.9149651290645675,3.6920712624393026
Làm Vườn - Thú Nuôi,2.3747663576354214,2.457015373263733,2.1065661887981637,2.301157985955054
Lịch Sử - Địa Lý - Tôn Giáo,3.703316853284149,4.425679055198954,4.281196581556685,3.870185556494972
Manga - Comic,4.013876704059351,1.0860661321079204,2.1065661887981637,2.5663777195276634
Nuôi Dạy Con,2.9125098105885314,2.805153444485714,3.3600948192969797,3.0636715376713894
Nữ Công Gia Chánh,2.415654069947535,2.9033494130510697,3.4734157013217106,2.6148967301759187
Phong Thủy - Kinh Dịch,2.445436065946488,4.309210203693173,2.640923719431491,3.751831704571313
Sách Học Ngoại Ngữ,4.728644608034236,3.8632986399081055,2.8359744626108836,2.7245108127454105
Thiếu Nhi,4.459572778561048,1.613247162545202,5.718038885168973,2.0575810261201353
Thể Dục Thể Thao - Giải Trí,2.414420101468295,2.909967672627142,3.496067090023569,2.7752839784285896
Tiểu Sử Hồi Ký,2.6401696321703287,3.8713020116642785,3.298609611111206,3.359164298928986
Tâm Lý - Kỹ Năng Sống,5.803631256448872,3.2805841361062074,4.029226736987697,3.3547222847832034
Từ Điển,2.483355583808538,3.6871846607208663,2.467262587936322,6.992019933455307
Văn Hóa - Nghệ Thuật - Du Lịch,2.4790533693809174,4.6862587161970755,2.7147277124083242,3.0866718372983315
Văn Học,5.168337592636928,3.067830272237218,4.886182814656596,3.49481017165411
Âm Nhạc - Mỹ Thuật - Thời Trang,2.4283606102337623,4.034006047914082,2.33844244538698,2.264768112742215
Đam Mỹ,2.5337815389601817,3.0274597717464515,2.1065661887981637,3.0512942867774933
